DATAFLOW,CSE_REG_DIST_LOC: Region District Locality,CSE_SEX: Sex,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2005-A1,404999,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2006-A1,405616,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2007-A1,407832,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2008-A1,410926,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2009-A1,414027,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2010-A1,414989,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2011-A1,417546,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2012-A1,422509,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2013-A1,429424,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2014-A1,439691,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2015-A1,450415,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2016-A1,460297,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2017-A1,475701,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2018-A1,493559,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2019-A1,514564,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,T: Total,A: Annual,2020-A1,516100,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2005-A1,204161,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2006-A1,204097,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2007-A1,205098,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2008-A1,206319,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2009-A1,207824,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2010-A1,208584,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2011-A1,209851,,
